,Opening,Opening.1,Title,Director,Cast,Genre,Source
73,AUG,21,Manjhi – The Mountain Man,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte",Drama,[100]
74,AUG,21,Rolling Dream,Maahi Kaur,Saachi Tiwari,Drama,[101]
75,AUG,28,Kaun Kitney Paani Mein,Nila Madhab Panda,"Saurabh Shukla, Radhika Apte, Gulshan Grover",Social/drama,[102]
76,AUG,28,Phantom,Kabir Khan,"Saif Ali Khan, Katrina Kaif",Action/thriller,[103][104][105]
77,SEP,4,Welcome Back,Anees Bazmee,"John Abraham, Shruti Hassan, Anil Kapoor, Nana Patekar, Paresh Rawal, Dimple Kapadia",Romance/comedy,[106]
78,SEP,4,Lakhon Hain Yahan Dilwale,Munnawar Bhagat,"Aditya Pancholi, Arun Bakshi, Kishori Shahane",Romance,
79,SEP,11,Hero,Nikhil Advani,"Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia, Aditya Pancholi, Sharad Kelkar",Action/romance,[107][108][109]
80,SEP,11,Sorry Daddy,Vijay Pal and Shakur,"Shamim Khan, Mukesh Tiwari, Tinu Verma",Action/drama,[110]
81,SEP,18,Katti Batti,Nikhil Advani,"Imran Khan, Kangana Ranaut",Romance/comedy,[111]
82,SEP,18,Meeruthiya Gangster,Zeishan Quadri,"Jaideep Ahlawat, Aakash Dahiya, Shadab Kamal, Nushrat Bharucha, Ishita Sharma",Crime/comedy,[112]
83,SEP,25,Kis Kisko Pyaar Karoon,Abbas-Mustan,"Kapil Sharma, Arbaz Khan, Manjari Phadnis, Simran Kaur Mundi, Elli Avram, Sai Lokur, Varun Sharma, Supriya Pathak",Comedy,[107]
84,SEP,25,Bhaag Johnny,Shivam Nair,"Kunal Khemu, Zoa Morani, Mandana Karimi",Drama,[113]
85,SEP,25,Time Out,Rikhil Bahadur,"Chirag Malhotra, Pranay Pachauri",Drama,[114]
86,SEP,25,Mumbhaii - The Gangster,Rajiv Ranjan,"Sanjay Kapoor, Mahima Chaudhry, Om Puri, Arya Babbar",Crime/Drama,[115]
87,OCT,2,Singh Is Bliing,Prabhu Deva,"Akshay Kumar, Amy Jackson",Comedy,[116]
88,OCT,2,Talvar,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Tabu",Thriller,[117]
89,OCT,9,Jazbaa,Sanjay Gupta,"Aishwarya Rai Bachchan, Irrfan Khan, Shabana Azmi",Action/drama,[118]
90,OCT,16,Bumper Draw,Irshad Khan,"Rajpal Yadav, Zakir Hussain, Subrat Dutta, Rushad Rana",Comedy,[119]
91,OCT,16,Chinar Daastaan-E-Ishq,Sharique Minhaj,"Faisal Khan, Inayat Sharma, Dalip Tahil, Shahbaz Khan",Romantic/drama,
92,OCT,16,Pyaar Ka Punchnama 2,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sonnalli Seygall, Omkar Kapoor",Comedy,[120]
93,OCT,16,Wedding Pullav,Binod Pradhan,"Anushka Ranjan, Diganth Manchale, Karan Grover, Rishi Kapoor, Sonnalli Seygall",Comedy,[121]
94,OCT,22,Shaandaar,Vikas Bahl,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur",Romance/comedy,[122]
95,OCT,30,Titli,Kanu Behl,"Shashank Arora, Ranvir Shorey, Amit Sial, Lalit Behl",Crime,[123]
96,OCT,30,Main Aur Charles,Prawaal Raman,"Randeep Hooda, Richa Chadha, Adil Hussain, Nandu Madhav",Thriller,[124]
97,OCT,30,Once Upon a Time in Bihar,Nitin Chandra,"Ashish Vidyarthi, Kranti Prakash Jha, Ajay Kumar, Arti Puri, Pankaj Jha, Deepak Singh",Political,[125]
98,OCT,30,Guddu Ki Gun,"Shantanu Ray Chhibber, Sheershak Anand","Kunal Khemu, Payel Sarkar, Aparna Sharma, Sumeet Vyas",Comedy,[126]
99,OCT,30,Love Exchange,Raj V Shetty,"Mohit Madan, Jyoti Sharma",Romance,[127]
100,OCT,30,Prithipal Singh... A Story,Babita Puri,"Vikas Kumar, Anjali Singh",Biopic,[128]
101,NOV,6,Four Pillars of Basement,Giresh Naik K,"Dillzan Wadia, Bruna Abdullah, Aaliya Singh, Zakir Hussain",Thriller,[129]
102,NOV,6,Charlie Kay Chakkar Mein,Manish Srivasta,Naseeruddin Shah,Crime/thriller,[130]
103,NOV,6,Yaara Silly Silly,Subhash Sehgal,"Paoli Dam, Parambrata Chatterjee",Romance,[131]
104,NOV,6,Ranbanka,Aryeman Ramsay,"Manish Paul, Ravi Kishan, Pooja Thakur",Action,[132]
105,NOV,12,Prem Ratan Dhan Payo,Sooraj Barjatya,"Salman Khan, Sonam Kapoor, Neil Nitin Mukesh, Swara Bhaskar, Armaan Kohli, Anupam Kher, Deepak Dobriyal, Sanjay Mishra",Romance,[133]
106,NOV,20,X: Past Is Present,Various Directors,"Rajat Kapoor, Huma Qureshi",Anthology,[134]
107,NOV,27,Angry Indian Goddesses,Pan Nalin,"Sarah-Jane Dias, Tannishtha Chatterjee, Anushka Manchanda, Sandhya Mridul",Drama,[135]
108,NOV,27,Tamasha,Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor",Romance,[136]
109,DEC,4,Hate Story 3,Vishal Pandya,"Zarine Khan, Daisy Shah, Sharman Joshi, Karan Singh Grover",Adult/thriller,[137]
110,DEC,4,Kajarya,Madhureeta Anand,"Meenu Hooda, Ridhima Sud, Kuldeep Ruhil",Drama,[138]
111,DEC,11,The Silent Heroes,Mahesh Bhatt,"Maanuv Bhardawaj, Priyanka Panchal, Mann Bagga, Simran Deep, Nirmal Kumar Pant",Adventure,[139]
112,DEC,18,Bajirao Mastani,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra",Romance,[140][141]
113,DEC,18,Dilwale,Rohit Shetty,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon",Action/romance,[142][143][144][145]
